Class,Correct,Total,Accuracy (%)
0,242,1309,18.49
1,1551,2320,66.85
2,271,657,41.25
3,105,504,20.83
4,0,123,0.0
5,74,114,64.91
6,0,85,0.0
7,33,66,50.0
8,16,20,80.0
9,20,25,80.0
