k,AMI
20,0.3636379151154511
50,0.3616558035864609
70,0.36192481233543733
90,0.3634911013420503
100,0.36236485297475873
130,0.3643735246055008
150,0.3638453830408176
170,0.36374983535599503
190,0.3647979967650719
200,0.3636341628510272
