Class,Correct,Total,Accuracy (%)
0,102,1309,7.79
1,1126,2320,48.53
2,320,657,48.71
3,243,504,48.21
4,0,123,0.0
5,16,114,14.04
6,17,85,20.0
7,42,66,63.64
8,14,20,70.0
9,19,25,76.0
