k,AMI
20,0.2622431113528421
50,0.2698164977222275
70,0.26820396927623197
90,0.269403865672364
100,0.2717806817866247
130,0.2701315320874863
150,0.27249852525169765
170,0.2717817560519222
190,0.2716733507189971
200,0.2712221826599517
