k,AMI
20,0.32250056837089097
50,0.32580248290421915
70,0.3236195446555468
90,0.3246791671277911
100,0.32573576974625584
130,0.3263295325905699
150,0.32695198825784483
170,0.3268408111374943
190,0.327023148703371
200,0.3266206725403847
