k,AMI
20,0.3285802608870121
50,0.331728382048377
70,0.3293513766445371
90,0.33112910482679436
100,0.33244213165426134
130,0.33310442480097247
150,0.33363097485089555
170,0.33328119123055217
190,0.3327866024709088
200,0.33227410171660493
