Cluster,Class,Count,Percentage
162,1,36,0.1941433425012134
163,0,1,0.010400416016640665
163,2,26,0.4987531172069825
164,1,13,0.07010731812543818
165,0,10,0.10400416016640666
166,1,20,0.10785741250067411
167,2,20,0.3836562440053712
168,1,1,0.0053928706250337055
168,2,30,0.5754843660080567
169,2,36,0.6905812392096682
170,0,1,0.010400416016640665
170,2,17,0.3261078074045655
171,0,1,0.010400416016640665
171,1,1,0.0053928706250337055
171,3,78,2.0838899278653487
172,2,29,0.5563015538077882
173,2,14,0.2685593708037598
174,2,21,0.40283905620563976
175,2,36,0.6905812392096682
176,2,28,0.5371187416075196
177,2,28,0.5371187416075196
178,2,30,0.5754843660080567
179,2,16,0.30692499520429695
180,1,15,0.08089305937550557
181,0,1,0.010400416016640665
181,2,39,0.7481296758104738
182,1,20,0.10785741250067411
183,3,21,0.56104728827144
184,2,31,0.5946671782083254
185,2,31,0.5946671782083254
186,2,31,0.5946671782083254
187,2,20,0.3836562440053712
188,2,14,0.2685593708037598
189,0,1,0.010400416016640665
189,2,35,0.6713984270093996
190,0,1,0.010400416016640665
190,2,22,0.42202186840590833
191,2,19,0.3644734318051026
192,2,34,0.652215614809131
193,2,23,0.4412046806061769
194,0,1,0.010400416016640665
194,1,15,0.08089305937550557
195,2,18,0.3452906196048341
195,6,1,0.16891891891891891
196,2,19,0.3644734318051026
197,2,20,0.3836562440053712
198,0,1,0.010400416016640665
198,2,65,1.2468827930174564
199,2,31,0.5946671782083254
200,2,50,0.959140610013428
201,2,17,0.3261078074045655
202,2,18,0.3452906196048341
203,2,35,0.6713984270093996
204,2,34,0.652215614809131
205,2,35,0.6713984270093996
206,0,1,0.010400416016640665
206,2,30,0.5754843660080567
207,2,43,0.8248609246115481
208,2,16,0.30692499520429695
209,3,51,1.3625434143734971
210,2,19,0.3644734318051026
211,1,27,0.14560750687591004
212,0,10,0.10400416016640666
212,2,28,0.5371187416075196
213,3,8,0.21373230029388193
213,7,29,5.301645338208409
214,1,46,0.24807204875155045
215,1,26,0.14021463625087635
216,1,29,0.15639324812597746
216,3,3,0.08014961261020571
217,1,18,0.0970716712506067
218,1,15,0.08089305937550557
219,2,20,0.3836562440053712
220,0,2,0.02080083203328133
220,1,35,0.1887504718761797
221,1,18,0.0970716712506067
222,0,22,0.22880915236609464
222,2,1,0.01918281220026856
223,0,29,0.3016120644825793
223,2,6,0.11509687320161135
224,2,20,0.3836562440053712
225,1,19,0.10246454187564039
226,1,16,0.08628593000053929
227,1,40,0.21571482500134823
228,1,41,0.2211076956263819
229,1,33,0.1779647306261123
229,3,1,0.02671653753673524
230,1,35,0.1887504718761797
231,1,16,0.08628593000053929
232,1,17,0.091678800625573
233,1,29,0.15639324812597746
234,2,17,0.3261078074045655
235,1,16,0.08628593000053929
236,2,39,0.7481296758104738
237,2,13,0.24937655860349126
238,1,24,0.12942889500080892
239,1,24,0.12942889500080892
240,2,10,0.1918281220026856
241,2,19,0.3644734318051026
242,1,32,0.17257186000107858
243,1,40,0.21571482500134823
244,0,17,0.1768070722828913
245,1,11,0.05932157687537076
246,1,11,0.05932157687537076
247,1,11,0.05932157687537076
248,1,32,0.17257186000107858
249,3,11,0.2938819129040876
250,1,20,0.10785741250067411
251,1,13,0.07010731812543818
252,1,25,0.13482176562584264
253,1,9,0.04853583562530335
253,2,4,0.07673124880107424
254,1,30,0.16178611875101115
255,1,12,0.06471444750040446
256,1,26,0.14021463625087635
257,1,1,0.0053928706250337055
257,3,10,0.26716537536735235
258,0,26,0.2704108164326573
259,0,2,0.02080083203328133
259,8,11,3.8596491228070176
260,0,1,0.010400416016640665
260,1,18,0.0970716712506067
261,1,42,0.22650056625141565
262,1,23,0.12403602437577523
263,3,39,1.0419449639326743
264,1,28,0.15100037750094375
265,2,32,0.6138499904085939
266,1,1,0.0053928706250337055
266,2,20,0.3836562440053712
267,0,12,0.12480499219968799
267,4,4,0.41450777202072536
267,6,18,3.040540540540541
267,8,5,1.7543859649122806
267,9,42,19.81132075471698
268,1,10,0.053928706250337057
269,0,2,0.02080083203328133
269,1,66,0.3559294612522246
270,1,12,0.06471444750040446
271,3,5,0.13358268768367618
271,7,5,0.9140767824497258
272,3,7,0.18701576275714668
272,7,8,1.4625228519195612
273,2,1,0.01918281220026856
273,3,29,0.7747795885653219
273,7,14,2.5594149908592323
274,1,26,0.14021463625087635
275,1,26,0.14021463625087635
276,1,24,0.12942889500080892
277,1,16,0.08628593000053929
278,0,32,0.3328133125325013
279,1,23,0.12403602437577523
280,1,37,0.19953621312624711
281,1,11,0.05932157687537076
282,1,31,0.16717898937604486
283,1,37,0.19953621312624711
284,1,31,0.16717898937604486
285,1,18,0.0970716712506067
286,1,11,0.05932157687537076
287,1,20,0.10785741250067411
288,1,11,0.05932157687537076
289,1,11,0.05932157687537076
290,1,39,0.2103219543763145
291,1,38,0.20492908375128077
292,0,2,0.02080083203328133
292,3,24,0.6411969008816457
293,1,32,0.17257186000107858
294,1,29,0.15639324812597746
295,0,1,0.010400416016640665
295,2,2,0.03836562440053712
295,3,17,0.4541811381244991
296,0,22,0.22880915236609464
296,3,2,0.05343307507347048
297,1,29,0.15639324812597746
298,1,30,0.16178611875101115
299,1,26,0.14021463625087635
300,1,15,0.08089305937550557
301,1,14,0.07550018875047187
302,1,22,0.11864315375074153
303,1,31,0.16717898937604486
304,1,26,0.14021463625087635
305,0,1,0.010400416016640665
305,1,14,0.07550018875047187
306,2,1,0.01918281220026856
306,7,10,1.8281535648994516
307,1,51,0.27503640187671896
308,1,22,0.11864315375074153
309,0,10,0.10400416016640666
310,0,2,0.02080083203328133
310,7,15,2.742230347349177
311,0,2,0.02080083203328133
311,3,11,0.2938819129040876
312,0,10,0.10400416016640666
313,0,1,0.010400416016640665
313,1,26,0.14021463625087635
314,1,15,0.08089305937550557
315,1,31,0.16717898937604486
316,1,39,0.2103219543763145
317,1,10,0.053928706250337057
318,0,15,0.15600624024961
319,0,1,0.010400416016640665
319,1,43,0.23189343687644934
320,1,17,0.091678800625573
321,1,27,0.14560750687591004
322,0,1,0.010400416016640665
322,1,29,0.15639324812597746
323,0,1,0.010400416016640665
323,1,39,0.2103219543763145
324,1,23,0.12403602437577523
325,1,17,0.091678800625573
326,1,24,0.12942889500080892
327,1,25,0.13482176562584264
328,1,62,0.3343579787520897
329,1,23,0.12403602437577523
330,1,22,0.11864315375074153
331,0,1,0.010400416016640665
331,3,9,0.24044883783061713
332,1,26,0.14021463625087635
333,1,26,0.14021463625087635
334,0,3,0.031201248049921998
334,1,39,0.2103219543763145
335,1,10,0.053928706250337057
336,1,14,0.07550018875047187
337,0,1,0.010400416016640665
337,1,21,0.11325028312570783
338,1,30,0.16178611875101115
339,1,13,0.07010731812543818
340,1,12,0.06471444750040446
341,1,30,0.16178611875101115
342,1,10,0.053928706250337057
343,1,23,0.12403602437577523
344,1,26,0.14021463625087635
345,1,28,0.15100037750094375
346,1,22,0.11864315375074153
347,0,984,10.234009360374415
347,1,6,0.03235722375020223
347,4,2,0.20725388601036268
347,5,10,1.5527950310559007
347,6,5,0.8445945945945946
347,8,45,15.789473684210526
348,1,15,0.08089305937550557
349,1,19,0.10246454187564039
350,1,13,0.07010731812543818
351,1,17,0.091678800625573
352,1,29,0.15639324812597746
353,1,37,0.19953621312624711
354,1,19,0.10246454187564039
355,1,28,0.15100037750094375
356,1,35,0.1887504718761797
357,1,33,0.1779647306261123
358,1,33,0.1779647306261123
359,1,10,0.053928706250337057
360,1,16,0.08628593000053929
361,1,14,0.07550018875047187
362,1,51,0.27503640187671896
363,1,38,0.20492908375128077
364,1,18,0.0970716712506067
365,1,14,0.07550018875047187
366,1,48,0.25885779000161785
367,1,17,0.091678800625573
368,1,21,0.11325028312570783
369,1,11,0.05932157687537076
370,1,12,0.06471444750040446
371,1,30,0.16178611875101115
372,1,120,0.6471444750040446
373,1,26,0.14021463625087635
373,4,1,0.10362694300518134
374,1,30,0.16178611875101115
375,0,1,0.010400416016640665
375,1,30,0.16178611875101115
376,1,11,0.05932157687537076
377,1,15,0.08089305937550557
377,3,1,0.02671653753673524
378,1,28,0.15100037750094375
379,1,40,0.21571482500134823
380,1,38,0.20492908375128077
381,1,32,0.17257186000107858
382,1,38,0.20492908375128077
383,1,36,0.1941433425012134
384,1,13,0.07010731812543818
385,0,3,0.031201248049921998
385,1,70,0.3775009437523594
386,1,17,0.091678800625573
387,1,36,0.1941433425012134
388,1,32,0.17257186000107858
389,1,20,0.10785741250067411
390,1,28,0.15100037750094375
391,1,13,0.07010731812543818
392,1,13,0.07010731812543818
393,1,17,0.091678800625573
394,1,21,0.11325028312570783
395,1,22,0.11864315375074153
396,1,31,0.16717898937604486
397,1,21,0.11325028312570783
398,1,20,0.10785741250067411
399,1,28,0.15100037750094375
400,1,35,0.1887504718761797
401,1,31,0.16717898937604486
402,1,12,0.06471444750040446
403,1,34,0.183357601251146
404,1,27,0.14560750687591004
405,1,34,0.183357601251146
406,1,30,0.16178611875101115
407,1,34,0.183357601251146
408,1,71,0.38289381437739306
409,1,12,0.06471444750040446
410,1,38,0.20492908375128077
