Cluster,Class,Count,Percentage
217,2,35,0.6713984270093996
218,2,46,0.8824093612123538
218,3,10,0.26716537536735235
219,1,28,0.15100037750094375
220,1,36,0.1941433425012134
221,2,17,0.3261078074045655
222,2,15,0.2877421830040284
223,1,21,0.11325028312570783
224,1,17,0.091678800625573
225,3,7,0.18701576275714668
225,7,8,1.4625228519195612
226,2,1,0.01918281220026856
226,3,42,1.12209457654288
226,7,7,1.2797074954296161
227,2,10,0.1918281220026856
228,3,18,0.48089767566123426
228,7,1,0.18281535648994515
229,1,17,0.091678800625573
230,0,11,0.11440457618304732
230,2,30,0.5754843660080567
231,1,1,0.0053928706250337055
231,3,15,0.4007480630510286
232,1,22,0.11864315375074153
233,0,15,0.15600624024961
234,2,28,0.5371187416075196
235,1,13,0.07010731812543818
236,7,14,2.5594149908592323
237,0,4,0.04160166406656266
237,2,2,0.03836562440053712
237,3,30,0.8014961261020572
237,7,16,2.9250457038391224
238,0,1,0.010400416016640665
238,3,20,0.5343307507347047
239,1,13,0.07010731812543818
240,1,22,0.11864315375074153
241,1,19,0.10246454187564039
242,1,22,0.11864315375074153
243,1,24,0.12942889500080892
244,1,22,0.11864315375074153
245,1,14,0.07550018875047187
246,0,4,0.04160166406656266
246,8,11,3.8596491228070176
247,0,14,0.14560582423296933
247,4,7,0.7253886010362695
247,6,18,3.040540540540541
247,9,42,19.81132075471698
248,0,1,0.010400416016640665
248,1,54,0.2912150137518201
249,1,12,0.06471444750040446
250,1,37,0.19953621312624711
251,3,15,0.4007480630510286
252,0,2,0.02080083203328133
252,1,21,0.11325028312570783
253,0,25,0.26001040041601664
254,0,24,0.24960998439937598
254,3,2,0.05343307507347048
255,0,2,0.02080083203328133
255,2,7,0.1342796854018799
255,3,9,0.24044883783061713
256,1,18,0.0970716712506067
257,1,14,0.07550018875047187
258,1,27,0.14560750687591004
259,0,1,0.010400416016640665
259,1,17,0.091678800625573
260,1,10,0.053928706250337057
261,1,12,0.06471444750040446
262,1,13,0.07010731812543818
263,1,16,0.08628593000053929
264,1,17,0.091678800625573
265,0,7,0.07280291211648467
265,2,1,0.01918281220026856
265,3,24,0.6411969008816457
265,7,1,0.18281535648994515
266,1,23,0.12403602437577523
267,1,37,0.19953621312624711
268,0,12,0.12480499219968799
268,5,22,3.4161490683229814
269,1,37,0.19953621312624711
270,0,1,0.010400416016640665
270,1,20,0.10785741250067411
271,0,36,0.374414976599064
272,1,43,0.23189343687644934
273,0,2,0.02080083203328133
273,3,13,0.3473149879775581
273,7,2,0.3656307129798903
274,1,47,0.25346491937658416
275,1,14,0.07550018875047187
276,0,23,0.23920956838273533
276,3,4,0.10686615014694097
277,1,12,0.06471444750040446
278,1,23,0.12403602437577523
279,1,10,0.053928706250337057
280,1,19,0.10246454187564039
281,1,16,0.08628593000053929
282,1,16,0.08628593000053929
283,2,28,0.5371187416075196
284,1,13,0.07010731812543818
285,1,41,0.2211076956263819
286,1,22,0.11864315375074153
287,0,1,0.010400416016640665
287,1,43,0.23189343687644934
288,0,1,0.010400416016640665
288,1,28,0.15100037750094375
289,1,23,0.12403602437577523
290,1,32,0.17257186000107858
291,1,27,0.14560750687591004
292,0,15,0.15600624024961
293,0,1036,10.77483099323973
293,1,1,0.0053928706250337055
293,4,1,0.10362694300518134
293,5,16,2.484472049689441
293,6,5,0.8445945945945946
293,8,78,27.368421052631582
294,1,20,0.10785741250067411
295,1,19,0.10246454187564039
296,1,11,0.05932157687537076
297,1,13,0.07010731812543818
298,1,61,0.32896510812705604
299,1,23,0.12403602437577523
300,1,15,0.08089305937550557
301,1,41,0.2211076956263819
302,1,68,0.366715202502292
303,1,237,1.2781103381329881
304,1,29,0.15639324812597746
305,0,1,0.010400416016640665
305,1,13,0.07010731812543818
306,1,31,0.16717898937604486
307,1,12,0.06471444750040446
308,1,30,0.16178611875101115
308,4,1,0.10362694300518134
309,1,27,0.14560750687591004
310,1,27,0.14560750687591004
311,1,20,0.10785741250067411
312,0,1,0.010400416016640665
312,1,39,0.2103219543763145
313,1,27,0.14560750687591004
314,1,30,0.16178611875101115
315,1,13,0.07010731812543818
316,1,30,0.16178611875101115
317,1,12,0.06471444750040446
318,1,11,0.05932157687537076
319,0,3,0.031201248049921998
319,1,38,0.20492908375128077
320,1,13,0.07010731812543818
321,1,12,0.06471444750040446
322,1,25,0.13482176562584264
323,1,32,0.17257186000107858
324,1,15,0.08089305937550557
325,1,30,0.16178611875101115
326,1,20,0.10785741250067411
327,1,14,0.07550018875047187
328,1,50,0.2696435312516853
329,1,34,0.183357601251146
330,1,14,0.07550018875047187
331,1,41,0.2211076956263819
332,1,33,0.1779647306261123
333,0,3,0.031201248049921998
333,1,68,0.366715202502292
334,1,42,0.22650056625141565
335,1,22,0.11864315375074153
336,1,33,0.1779647306261123
337,1,12,0.06471444750040446
338,1,21,0.11325028312570783
339,1,15,0.08089305937550557
340,1,37,0.19953621312624711
341,1,16,0.08628593000053929
342,1,33,0.1779647306261123
343,1,26,0.14021463625087635
344,1,37,0.19953621312624711
345,1,19,0.10246454187564039
346,1,64,0.34514372000215715
347,1,25,0.13482176562584264
348,1,36,0.1941433425012134
349,0,1,0.010400416016640665
349,1,16,0.08628593000053929
350,1,22,0.11864315375074153
351,0,1,0.010400416016640665
351,1,21,0.11325028312570783
352,1,65,0.35053659062719084
353,1,30,0.16178611875101115
354,1,59,0.3181793668769886
355,1,21,0.11325028312570783
356,0,1,0.010400416016640665
356,1,67,0.36132233187725826
357,1,21,0.11325028312570783
358,0,1,0.010400416016640665
358,1,13,0.07010731812543818
359,1,38,0.20492908375128077
360,1,10,0.053928706250337057
361,1,36,0.1941433425012134
