Cluster,Class,Count,Percentage
0,0,700,7.280291211648465
0,1,3121,16.831149220730197
0,2,1410,27.04776520237867
0,3,1937,51.74993320865616
0,4,449,46.52849740932643
0,5,39,6.055900621118012
0,6,134,22.635135135135133
0,7,139,25.411334552102378
0,9,20,9.433962264150944
1,0,993,10.32761310452418
1,1,4199,22.64466375451653
1,2,69,1.3236140418185307
1,3,65,1.7365749398877905
1,4,50,5.181347150259067
1,5,134,20.80745341614907
1,6,8,1.3513513513513513
1,7,13,2.376599634369287
1,9,4,1.8867924528301887
2,0,47,0.4888195527821113
2,1,6959,37.52898667960955
2,2,40,0.7673124880107424
2,4,1,0.10362694300518134
2,7,1,0.18281535648994515
3,0,1291,13.4269370774831
3,1,891,4.805047726905032
3,2,226,4.335315557260695
3,3,389,10.392733101790007
3,4,61,6.321243523316062
3,5,23,3.571428571428571
3,6,108,18.243243243243242
3,7,44,8.043875685557587
3,9,9,4.245283018867925
4,0,1034,10.75403016120645
4,1,102,0.5500728037534379
4,2,6,0.11509687320161135
4,4,207,21.450777202072537
4,5,65,10.093167701863354
4,6,145,24.493243243243242
4,7,2,0.3656307129798903
4,8,69,24.210526315789473
4,9,147,69.33962264150944
5,0,25,0.26001040041601664
5,1,55,0.2966078843768538
5,2,2646,50.75772108191061
5,3,5,0.13358268768367618
5,4,5,0.5181347150259068
5,6,1,0.16891891891891891
5,7,3,0.5484460694698354
6,0,3208,33.36453458138325
6,1,98,0.5285013212533031
6,2,56,1.0742374832150392
6,3,2,0.05343307507347048
6,4,73,7.564766839378239
6,5,317,49.22360248447205
6,6,161,27.195945945945947
6,7,1,0.18281535648994515
6,8,204,71.57894736842105
6,9,30,14.150943396226415
7,0,1010,10.504420176807072
7,1,93,0.5015369681281346
7,2,5,0.0959140610013428
7,3,74,1.9770237777184076
7,4,12,1.2435233160621761
7,5,19,2.950310559006211
7,6,4,0.6756756756756757
7,7,35,6.39853747714808
7,8,12,4.2105263157894735
8,0,6,0.062402496099843996
8,1,1694,9.135522838807098
8,2,12,0.2301937464032227
9,0,1301,13.530941237649504
9,1,1331,7.177910801919863
9,2,743,14.252829464799541
9,3,1271,33.95671920919049
9,4,107,11.088082901554404
9,5,47,7.298136645962733
9,6,31,5.236486486486487
9,7,309,56.48994515539305
9,9,2,0.9433962264150944
